Provinsi,Regional GDP (IDR Bil),Regional GDP per Capita,Belum tamat SD,Tamat SD,SMP,SMA,D1 dan D2,D3,S1,S2,S3
ACEH,115435.0,485335533,637448,987008,758467,1210978,44926,87774,238009,14287,1001
BALI,137557.0,274514037,377182,954573,497774,1034671,66099,64254,231938,18650,1554
BANTEN,389262.0,336863614,1113485,2797805,1710694,2825336,34963,154363,549966,41770,2649
BENGKULU,40078.0,183064066,227542,456333,291737,396956,9518,22818,103582,7273,368
DAERAH ISTIMEWA YOGYAKARTA,87768.0,130967271,331034,651834,564628,1007439,26041,90130,280133,29508,3660
DKI JAKARTA,1543206.0,945554906,1053942,915067,1483363,4337984,38261,377875,1167131,114931,7102
GORONTALO,23584.0,118435247,210844,344968,134739,213259,4394,10934,55714,4112,328
JAMBI,130483.0,423064639,420084,821362,520497,699443,23751,43766,147645,9081,660
JAWA BARAT,1277553.0,676634402,4715513,13015895,7145488,9995094,172107,648295,1827523,144192,13133
JAWA TENGAH,848553.0,838214950,3909829,11120978,6174892,6172471,117005,423675,1190982,72133,3816
JAWA TIMUR,1420953.0,1316639299,4828599,11070250,6336768,7408888,140425,331502,1660626,106573,7493
KALIMANTAN BARAT,119190.0,285506624,767557,1439654,720467,817545,22970,58366,152837,9312,465
KALIMANTAN SELATAN,116012.0,390850571,544713,1052666,605462,700911,20087,44982,171746,11333,598
KALIMANTAN TENGAH,83174.0,451203186,376413,637339,385584,444842,16993,27942,107075,6260,310
KALIMANTAN TIMUR,441509.0,1143683175,446647,643385,506380,934200,14320,62046,183313,11514,544
KALIMANTAN UTARA,50516.0,411658374,101833,124006,89118,136192,2879,10039,31597,1911,67
KEPULAUAN BANGKA BELITUNG,47462.0,232552972,196831,404990,178701,259769,7003,19925,46341,2368,113
KEPULAUAN RIAU,159670.0,723927588,239261,272640,207134,580673,8885,33701,84217,3917,198
LAMPUNG,211065.0,331341611,951777,2232926,1582849,1590555,41158,78067,236626,17642,1108
MALUKU,26366.0,144178156,274717,339214,244712,508781,13808,21632,98925,5238,450
MALUKU UTARA,21561.0,157063127,177628,267421,185185,320699,9166,13930,62565,3261,162
NUSA TENGGARA BARAT,95391.0,307824905,683724,1130746,685324,903587,25335,42156,222679,11141,824
NUSA TENGGARA TIMUR,60056.0,221438692,968243,1408617,609384,930971,22925,62317,231128,9362,567
PAPUA,141521.0,760373467,479131,372489,315067,606494,15579,37553,125603,7797,1351
PAPUA BARAT,55158.0,569031628,169259,136310,133407,288504,6385,16930,61451,3111,214
RIAU,459147.0,858802174,728035,1274715,867758,1288450,40896,81678,244379,14792,863
SULAWESI BARAT,27820.0,115378177,185544,355067,162675,207165,6929,12843,51286,2980,118
SULAWESI SELATAN,270624.0,595679614,1138762,2120957,1131076,1802149,34285,107810,480013,37101,3300
SULAWESI TENGAH,92881.0,399557311,388037,767834,441127,621398,17331,29928,134960,9504,722
SULAWESI TENGGARA,78211.0,460258312,329225,535845,364626,560141,14659,31642,145299,11571,703
SULAWESI UTARA,74931.0,357509605,310620,500295,451429,756428,10654,30423,136193,10105,972
SUMATERA BARAT,148864.0,519704050,911346,1035420,791618,1175224,35023,93464,290198,19756,1361
SUMATERA SELATAN,268231.0,438469964,968705,2145521,1123793,1544593,36460,97025,292742,19457,947
SUMATERA UTARA,467161.0,826179229,1843234,2504182,2267915,3884686,51227,192900,536838,30513,1477
